P;G(i);H_sun;T2m;WS10m;Int;hora;mes;Valor probable fut
0;0;0;459;207;0;0;1;
0;0;0;457;207;0;1;1;
0;0;0;476;193;0;2;1;
0;0;0;534;179;0;3;1;
0;-800000;0;509;179;0;4;1;
0;0;0;472;193;0;5;1;
0;0;0;404;221;0;6;1;
0;0;0;39;29;0;7;1;
0;0;0;429;303;0;8;1;
2194;3894;846;524;31;0;9;1;
2763;4636;1555;657;297;0;10;1;
541;788;2065;844;303;0;11;1;
5218;7695;2324;989;345;0;12;1;
15931;19948;2305;1084;421;0;13;1;
3589;5748;2008;1101;414;0;14;1;
12254;15774;1468;1103;386;0;15;1;
7402;10306;735;1077;352;0;16;1;
0;0;0;1034;393;0;17;1;
0;0;0;1027;40;0;18;1;
0;0;0;1041;503;0;19;1;
0;0;0;1036;545;0;20;1;
0;0;0;1021;566;0;21;1;
0;0;0;1018;579;0;22;1;
0;0;0;994;607;0;23;1;
0;0;0;951;662;0;0;1;0
0;0;0;934;669;0;1;1;0
0;0;0;927;676;0;2;1;0
0;0;0;934;703;0;3;1;0
0;0;0;94;71;0;4;1;0
0;0;0;944;683;0;5;1;0
0;0;0;942;662;0;6;1;0
0;0;0;97;628;0;7;1;0
0;0;0;961;628;0;8;1;15351
3881;6064;847;959;634;0;9;1;7395
539;7893;1559;1036;662;0;10;1;26746
3659;5841;207;1144;607;0;11;1;7378
4471;6861;2332;1245;60;0;12;1;4187
23428;28538;2314;1344;586;0;13;1;21035
36292;43206;2019;1372;559;0;14;1;7133
4433;6861;148;1407;517;0;15;1;19814
5139;7719;748;1377;448;0;16;1;3433
0;0;0;1293;421;0;17;1;0
0;0;0;1225;40;0;18;1;0
0;0;0;1204;366;0;19;1;0
0;0;0;1178;352;0;20;1;0
0;0;0;1167;379;0;21;1;0
0;0;0;1183;386;0;22;1;0
0;0;0;1198;455;0;23;1;0
0;0;0;1174;497;0;0;1;0
0;0;0;1124;51;0;1;1;0
0;0;0;105;503;0;2;1;0
0;0;0;1045;49;0;3;1;0
0;0;0;1036;469;0;4;1;0
0;0;0;1034;441;0;5;1;0
0;0;0;1031;414;0;6;1;0
0;0;0;1064;359;0;7;1;0
0;0;0;1061;345;0;8;1;19005
5211;7699;849;1058;338;0;9;1;25104
10982;14416;1562;119;324;0;10;1;22922
8005;11106;2076;132;31;0;11;1;1173
13814;17884;234;1443;338;0;12;1;2481
13902;18054;2325;1518;29;0;13;1;13995
4989;7602;2031;1561;221;0;14;1;1286
7991;11205;1493;159;152;0;15;1;9025
3796;6129;762;1562;11;0;16;1;0
0;0;0;147;145;0;17;1;0
0;0;0;1336;193;0;18;1;0
0;0;0;1258;241;0;19;1;0
0;0;0;1244;262;0;20;1;0
0;0;0;1253;262;0;21;1;0
0;0;0;124;262;0;22;1;0
0;0;0;1218;248;0;23;1;0
0;0;0;1134;234;0;0;1;0
0;0;0;107;241;0;1;1;0
0;0;0;1038;241;0;2;1;0
0;0;0;1031;241;0;3;1;0
0;0;0;1036;241;0;4;1;0
0;0;0;1047;248;0;5;1;0
0;0;0;1063;248;0;6;1;0
0;0;0;1155;221;0;7;1;13342
0;0;0;1181;221;0;8;1;459
7715;10721;851;1215;221;0;9;1;54924
632;9115;1567;1315;207;0;10;1;4904
45868;5591;2083;1426;179;0;11;1;2143
45248;55652;235;1557;159;0;12;1;37483
47155;58278;2336;1613;152;0;13;1;1783
34223;42315;2044;1619;97;0;14;1;16643
34452;4268;1507;1604;76;0;15;1;22379
6782;9799;776;1564;9;0;16;1;13748
0;0;0;1497;97;0;17;1;0
0;0;0;1413;11;0;18;1;0
0;0;0;1289;131;0;19;1;0
0;0;0;1182;166;0;20;1;0
0;0;0;1119;193;0;21;1;0
0;0;0;1083;20;0;22;1;0
0;0;0;1034;214;0;23;1;0
0;0;0;1017;207;0;0;1;0
0;0;0;969;214;0;1;1;0
0;0;0;919;20;0;2;1;0
0;0;0;905;193;0;3;1;0
0;0;0;964;193;0;4;1;0
0;0;0;993;221;0;5;1;0
0;0;0;963;221;0;6;1;0
0;0;0;1061;20;0;7;1;0
0;0;0;1057;20;0;8;1;1149
26244;32073;855;1072;193;0;9;1;4383
44744;53842;1572;117;186;0;10;1;2511
58256;71418;209;1279;166;0;11;1;65343
6426;80948;2359;142;103;0;12;1;63666
6008;75843;2348;1489;76;0;13;1;56254
54129;67365;2057;1536;117;0;14;1;40101
42824;52461;1521;155;186;0;15;1;5279
21611;2725;79;1517;221;0;16;1;0
0;0;0;1409;248;0;17;1;0
0;0;0;1278;255;0;18;1;0
0;0;0;1206;262;0;19;1;0
0;0;0;1119;255;0;20;1;0
0;0;0;1046;269;0;21;1;0
0;0;0;977;276;0;22;1;0
0;0;0;916;283;0;23;1;0
0;0;0;855;276;0;0;1;0
0;0;0;812;276;0;1;1;0
0;0;0;76;269;0;2;1;0
0;0;0;723;283;0;3;1;0
0;0;0;666;297;0;4;1;0
0;0;0;636;303;0;5;1;0
0;0;0;622;303;0;6;1;0
0;0;0;655;29;0;7;1;0
0;0;0;666;29;0;8;1;26676
26884;32115;858;687;297;0;9;1;51253
46991;55113;1578;784;283;0;10;1;62196
59573;70928;2098;934;276;0;11;1;67563
65723;79492;237;1107;276;0;12;1;64015
65096;79146;2361;1254;29;0;13;1;55388
57647;69829;2071;1353;297;0;14;1;4126
42873;51612;1536;1388;31;0;15;1;22745
21629;27006;805;1353;276;0;16;1;0
0;0;0;124;262;0;17;1;0
0;0;0;1082;248;0;18;1;0
0;0;0;952;31;0;19;1;0
0;0;0;871;324;0;20;1;0
0;0;0;81;338;0;21;1;0
0;0;0;765;338;0;22;1;0
0;0;0;724;324;0;23;1;0
0;0;0;675;297;0;0;1;0
0;0;0;626;29;0;1;1;0
0;0;0;585;283;0;2;1;0
0;0;0;557;29;0;3;1;0
0;0;0;538;297;0;4;1;0
0;0;0;524;303;0;5;1;0
0;0;0;434;31;0;6;1;0
0;0;0;444;303;0;7;1;0
0;0;0;434;303;0;8;1;26508
2712;32095;863;478;29;0;9;1;46672
47035;55163;1584;727;248;0;10;1;59808
59781;71653;2107;959;228;0;11;1;66338
65886;80349;2381;1127;221;0;12;1;64613
64842;79304;2374;1244;234;0;13;1;57097
58142;70729;2086;1316;241;0;14;1;42866
4358;52504;1552;1332;262;0;15;1;21629
22745;28239;821;1285;255;0;16;1;0
0;0;0;1172;276;0;17;1;0
0;0;0;103;29;0;18;1;0
0;0;0;896;303;0;19;1;0
0;0;0;805;29;0;20;1;0
