P,G(i),H_sun,T2m,WS10m,Int,hora,mes,Valor probable fut
0.0,0.0,0.0,4.59,2.07,0.0,0,1,
0.0,0.0,0.0,4.57,2.07,0.0,1,1,
0.0,0.0,0.0,4.76,1.93,0.0,2,1,
0.0,0.0,5.34,1.79,0.0,3,1,
0.0,0.0,0.0,5.09,1.79,0.0,4,1,
0.0,0.0,0.0,4.72,1.93,0.0,5,1,
0.0,0.0,0.0,4.04,2.21,0.0,6,1,
0.0,0.0,0.0,3.9,2.9,0.0,7,1,
0.0,0.0,0.0,4.29,3.03,0.0,8,1,
21.94,38.94,8.46,5.24,3.1,0.0,9,1,
27.63,46.36,15.55,6.57,2.97,0.0,10,1,
54.1,78.8,20.65,8.44,3.03,0.0,11,1,
52.18,76.95,23.24,9.89,3.45,0.0,12,1,
159.31,199.48,23.05,10.84,4.21,0.0,13,1,
35.89,57.48,20.08,11.01,4.14,0.0,14,1,
122.54,157.74,14.68,11.03,3.86,0.0,15,1,
74.02,103.06,7.35,10.77,3.52,0.0,16,1,
0.0,0.0,0.0,10.34,3.93,0.0,17,1,
0.0,0.0,0.0,10.27,4.0,0.0,18,1,
0.0,0.0,0.0,10.41,5.03,0.0,19,1,
0.0,0.0,0.0,10.36,5.45,0.0,20,1,
0.0,0.0,0.0,10.21,5.66,0.0,21,1,
0.0,0.0,0.0,10.18,5.79,0.0,22,1,
0.0,0.0,0.0,9.94,6.07,0.0,23,1,
0.0,0.0,0.0,9.51,6.62,0.0,0,1,0.0
0.0,0.0,0.0,9.34,6.69,0.0,1,1,0.0
0.0,0.0,0.0,9.27,6.76,0.0,2,1,0.0
0.0,0.0,0.0,9.34,7.03,0.0,3,1,0.0
0.0,0.0,0.0,9.4,7.1,0.0,4,1,0.0
0.0,0.0,0.0,9.44,6.83,0.0,5,1,0.0
0.0,0.0,0.0,9.42,6.62,0.0,6,1,0.0
0.0,0.0,0.0,9.7,6.28,0.0,7,1,0.0
0.0,0.0,0.0,9.61,6.28,0.0,8,1,153.51
38.81,60.64,8.47,9.59,6.34,0.0,9,1,73.95
53.9,78.93,15.59,10.36,6.62,0.0,10,1,267.46
36.59,58.41,20.7,11.44,6.07,0.0,11,1,73.78
44.71,68.61,23.32,12.45,6.0,0.0,12,1,41.87
234.28,285.38,23.14,13.44,5.86,0.0,13,1,210.35
362.92,432.06,20.19,13.72,5.59,0.0,14,1,71.33
44.33,68.61,14.8,14.07,5.17,0.0,15,1,198.14
51.39,77.19,7.48,13.77,4.48,0.0,16,1,34.33
0.0,0.0,0.0,12.93,4.21,0.0,17,1,0.0
0.0,0.0,0.0,12.25,4.0,0.0,18,1,0.0
0.0,0.0,0.0,12.04,3.66,0.0,19,1,0.0
0.0,0.0,0.0,11.78,3.52,0.0,20,1,0.0
0.0,0.0,0.0,11.67,3.79,0.0,21,1,0.0
0.0,0.0,0.0,11.83,3.86,0.0,22,1,0.0
0.0,0.0,0.0,11.98,4.55,0.0,23,1,0.0
0.0,0.0,0.0,11.74,4.97,0.0,0,1,0.0
0.0,0.0,0.0,11.24,5.1,0.0,1,1,0.0
0.0,0.0,0.0,10.5,5.03,0.0,2,1,0.0
0.0,0.0,0.0,10.45,4.9,0.0,3,1,0.0
0.0,0.0,0.0,10.36,4.69,0.0,4,1,0.0
0.0,0.0,0.0,10.34,4.41,0.0,5,1,0.0
0.0,0.0,0.0,10.31,4.14,0.0,6,1,0.0
0.0,0.0,0.0,10.64,3.59,0.0,7,1,0.0
0.0,0.0,0.0,10.61,3.45,0.0,8,1,190.05
